model,roc_auc,accuracy,precision,recall,f1_score
Random Forest,0.7517,0.7033,0.6882,0.7479,0.7168
Logistic Regression,0.7428,0.6701,0.6531,0.7314,0.6901
Neural Network,0.7427,0.7033,0.6701,0.8058,0.7317
Gradient Boosting,0.7353,0.6888,0.6729,0.7397,0.7047
Decision Tree,0.6517,0.6286,0.6207,0.6694,0.6441
